Darts, # proc, pi, time, error
1e+06,1,3.14166,7.35649,6.55652e-05
1e+06,2,3.14198,4.22492,0.000388846
1e+06,3,3.14211,3.51589,0.000517846
1e+06,4,3.14204,3.06268,0.000445253
1e+06,1,3.14166,6.87465,6.55652e-05
1e+06,2,3.14198,4.34737,0.000388846
1e+06,3,3.14211,3.45482,0.000517846
1e+06,4,3.14204,3.11659,0.000445253
1e+06,1,3.14166,6.90051,6.55652e-05
1e+06,2,3.14198,4.19573,0.000388846
1e+06,3,3.14211,3.52323,0.000517846
1e+06,4,3.14204,3.17719,0.000445253
1e+06,1,3.14166,6.91354,6.55652e-05
1e+06,2,3.14198,4.29752,0.000388846
1e+06,3,3.14211,3.517,0.000517846
1e+06,4,3.14204,3.12324,0.000445253
1e+06,1,3.14166,6.90751,6.55652e-05
1e+06,2,3.14198,4.21584,0.000388846
1e+06,3,3.14211,3.42178,0.000517846
1e+06,4,3.14204,3.09655,0.000445253
