Darts, # proc, pi, time, error
1000,1,3.14016,0.225385,-0.0014364
1000,2,3.14069,0.270395,-0.000905154
1000,4,3.146,0.26093,0.00440735
1000,8,3.14869,0.365788,0.00709485
1000,16,3.14403,0.762404,0.0024386
1000,32,3.13922,0.676456,-0.0023739
1000,64,3.14138,1.59205,-0.000217654
1e+06,1,3.14166,5.05229,6.55652e-05
1e+06,2,3.14198,2.97503,0.000388846
1e+06,4,3.14204,1.67222,0.000445253
1e+06,8,3.14156,1.02565,-3.28098e-05
1e+06,16,3.1415,1.05523,-9.66848e-05
1e+06,32,3.14129,0.800916,-0.000305091
1e+06,64,3.14158,1.45726,-1.14348e-05
