Darts, # nodes, # proc, pi, time, error
1000000000,2,96,3.14159,39.8876,-4.64753e-06
1000000000,1,96,3.14159,44.7162,-4.64753e-06
1000000000,1,96,3.14159,53.6675,-4.64753e-06
1000000000,2,96,3.14159,68.1278,-4.64753e-06
1000000000,1,96,3.14159,45.9979,-4.64753e-06
1000000000,2,96,3.14159,49.0686,-4.64753e-06
1000000000,3,96,3.14159,57.4427,-4.64753e-06
1000000000,3,96,3.14159,59.4845,-4.64753e-06
1000000000,3,96,3.14159,58.2609,-4.64753e-06
1000000000,4,96,3.14159,66.3955,-4.64753e-06
1000000000,4,96,3.14159,59.9242,-4.64753e-06
1000000000,4,96,3.14159,69.2611,-4.64753e-06
1000000000,6,96,3.14159,65.7556,-4.64753e-06
1000000000,6,96,3.14159,70.2107,-4.64753e-06
1000000000,6,96,3.14159,68.3217,-4.64753e-06
1000000000,8,96,3.14159,67.8389,-4.64753e-06
1000000000,8,96,3.14159,70.0422,-4.64753e-06
1000000000,8,96,3.14159,69.9715,-4.64753e-06
1000000000,16,96,3.14159,65.699,-4.64753e-06
1000000000,16,96,3.14159,69.8812,-4.64753e-06
1000000000,12,96,3.14159,58.9553,-4.64753e-06
1000000000,16,96,3.14159,70.1284,-4.64753e-06
1000000000,12,96,3.14159,67.9441,-4.64753e-06
1000000000,12,96,3.14159,65.3373,-4.64753e-06
1000000000,24,96,3.14159,67.6973,-4.64753e-06
1000000000,48,96,3.14159,70.3521,-4.64753e-06
1000000000,24,96,3.14159,64.7634,-4.64753e-06
1000000000,48,96,3.14159,70.1868,-4.64753e-06
1000000000,24,96,3.14159,64.9063,-4.64753e-06
1000000000,48,96,3.14159,70.2209,-4.64753e-06
1000000000,96,96,3.14159,70.4975,-4.64753e-06
1000000000,96,96,3.14159,70.3912,-4.64753e-06
1000000000,96,96,3.14159,70.3638,-4.64753e-06
